index,date,cash,spy
297,onw,8851.599999999995,128.02
298,onw,8849.559999999994,127.96
299,onw,8802.639999999994,126.58
300,onw,8900.899999999994,129.47
301,onw,8928.443399999995,130.2801
302,onw,8877.779999999993,128.79
303,onw,8845.479999999994,127.84
304,onw,8916.539999999994,129.93
305,onw,8933.539999999994,130.43
306,onw,8831.199999999993,127.42
307,onw,8830.179999999993,127.39
308,onw,8808.419999999993,126.75
309,onw,8873.699999999992,128.67
310,onw,8878.119999999992,128.8
311,onw,8817.599999999991,127.02
312,onw,8835.619999999992,127.55
313,onw,8894.439999999991,129.28
314,onw,8909.73999999999,129.73
315,onw,8919.939999999991,130.03
316,onw,8846.839999999991,127.88
317,onw,8815.89999999999,126.97
318,onw,8690.779999999992,123.29
319,onw,8742.299999999992,128.04
320,onw,8595.959999999992,127.1
321,onw,8568.419999999991,123.89
322,onw,8531.96999999999,122.12
323,onw,8558.06999999999,124.29
324,onw,8554.919999999991,121.63
325,onw,8355.56999999999,117.2
326,onw,8436.11999999999,119.64
327,onw,8479.76999999999,116.61
328,onw,8663.819999999989,126.7
329,onw,8589.586499999989,124.4505
330,onw,8470.769999999988,120.85
331,onw,8479.889999999989,119.35
332,onw,8554.76999999999,119.4
333,onw,8559.08999999999,118.83
334,onw,8557.649999999989,119.18
335,onw,8359.199999999988,113.51
336,onw,8403.199999999988,115.27
337,onw,8379.879999999988,114.95
338,onw,8344.239999999989,111.85
339,onw,8284.399999999989,107.15
340,onw,8302.879999999988,104.72
341,onw,8243.039999999988,100.03
342,onw,8344.679999999988,99.66
343,onw,8378.119999999988,86.76
344,onw,8444.119999999988,93.87
345,onw,8481.959999999988,104.7
346,onw,8487.679999999988,97.46
347,onw,8449.399999999989,91.29
348,onw,8462.59999999999,91.99
349,onw,8517.59999999999,95.35
350,onw,8444.999999999989,96.97
351,onw,8399.67999999999,93.2
352,onw,8319.159999999989,90.29
353,onw,8280.87999999999,84.06
354,onw,8327.07999999999,85.97
355,onw,8397.03999999999,87.34
356,onw,8415.07999999999,93.77
357,onw,8503.519999999991,95.78
358,onw,8472.719999999992,95.08
359,onw,8549.719999999992,96.83
360,onw,8647.839999999993,99.06
361,onw,8653.999999999993,99.2
362,onw,8445.439999999991,94.46
363,onw,8321.799999999992,91.65
364,onw,8353.479999999992,95.21
365,onw,8162.129999999993,90.76
366,onw,8146.219999999993,88.23
367,onw,8175.029999999993,86.13
368,onw,8166.429999999993,89.41
369,onw,8141.919999999993,86.38
370,onw,8111.819999999993,85.15
371,onw,8064.949999999993,85.91
372,onw,7877.899999999993,80.13
373,onw,7816.409999999993,75.45
374,onw,7863.709999999993,81.92
375,onw,8127.329999999993,87.3
376,onw,7980.329999999993,84.3
377,onw,8192.499999999993,88.63
378,onw,8137.6199999999935,87.51
379,onw,7939.6599999999935,83.47
380,onw,7936.229999999994,83.4
381,onw,8066.569999999994,86.06
382,onw,7948.479999999994,83.65
383,onw,8276.289999999994,90.34
384,onw,8277.759999999993,90.37
385,onw,8275.309999999992,90.32
386,onw,8237.089999999993,89.54
387,onw,8041.579999999993,85.55
388,onw,8211.609999999993,89.02
389,onw,8176.329999999994,88.3
390,onw,8300.789999999994,90.84
391,onw,8328.229999999994,91.4
392,onw,8273.349999999993,90.28
393,onw,8190.049999999993,88.58
394,onw,8138.599999999993,87.53
395,onw,8085.679999999993,86.45
396,onw,8124.389999999993,87.24
397,onw,8124.389999999993,87.24
398,onw,8137.6199999999935,87.51
399,onw,8214.549999999994,89.08
400,onw,8281.189999999993,90.44
401,onw,8388.499999999993,92.63
402,onw,8437.989999999993,93.64
403,onw,8426.089999999993,92
404,onw,8402.289999999992,90.16
405,onw,8443.589999999993,91.16
406,onw,8439.739999999993,88.84
407,onw,8372.189999999991,86.73
408,onw,8331.939999999991,85.54
409,onw,8277.689999999991,84.11
410,onw,8374.98999999999,85.87
411,onw,8415.41499999999,84.24
412,onw,8427.13999999999,80.57
413,onw,8473.689999999991,82.42
414,onw,8567.48999999999,80.89
415,onw,8585.689999999991,83.59
416,onw,8571.689999999991,84.12
417,onw,8518.839999999991,86.4
418,onw,8504.919999999991,86.11
419,onw,8541.71999999999,85
420,onw,8566.51999999999,81.58
421,onw,8555.319999999989,83.1
422,onw,8617.319999999989,84.31
423,onw,8597.719999999988,82.68
424,onw,8637.319999999989,84.86
425,onw,8661.319999999989,86.96
426,onw,8628.67999999999,86.28
427,onw,8492.83999999999,83.45
428,onw,8431.399999999989,82.17
429,onw,8497.639999999989,83.55
430,onw,8334.43999999999,80.15
431,onw,8334.889999999989,79.8
432,onw,8304.289999999988,79.87
433,onw,8210.239999999989,76.72
434,onw,8273.68999999999,78.24
435,onw,8228.68999999999,75.31
436,onw,8358.28999999999,77.14
437,onw,8448.28999999999,77.79
438,onw,8376.28999999999,74.04
439,onw,8416.33999999999,72.49
440,onw,8531.989999999989,71.605
441,onw,8558.989999999989,71.23
442,onw,8574.289999999988,70.07
443,onw,8488.789999999988,69.42
444,onw,8467.189999999988,67.95
445,onw,8590.939999999988,69.48
446,onw,8638.639999999989,73
447,onw,8553.58999999999,72.63
448,onw,8746.249999999989,76.01
449,onw,8799.829999999989,76.95
450,onw,8748.529999999988,76.05
451,onw,8848.849999999988,77.81
452,onw,9027.259999999987,80.94
453,onw,8902.999999999987,78.76
454,onw,8901.859999999986,78.74
455,onw,9044.359999999986,81.24
456,onw,9043.789999999986,81.23
457,onw,9101.929999999986,82.25
458,onw,9090.529999999986,82.05
459,onw,8962.279999999986,79.8
460,onw,8948.599999999986,79.56
461,onw,8889.889999999985,78.53
462,onw,9149.239999999985,83.08
463,onw,9172.609999999984,83.49
464,onw,9164.059999999985,83.34
465,onw,9101.929999999984,82.25
466,onw,9080.199999999984,82.06
467,onw,9223.749999999984,84.67
468,onw,9237.499999999984,84.92
469,onw,9243.549999999983,85.03
470,onw,9178.099999999982,83.84
471,onw,9293.049999999983,85.93
472,onw,9342.549999999983,86.83
473,onw,9271.599999999984,85.54
474,onw,9121.999999999984,82.82
475,onw,9202.849999999984,84.29
476,onw,9225.949999999983,84.71
477,onw,9298.549999999983,86.03
478,onw,9279.299999999983,85.68
479,onw,9240.249999999982,84.97
480,onw,9325.499999999982,86.52
481,onw,9437.149999999981,88.55
482,onw,9376.099999999982,87.44
483,onw,9334.499999999982,88.55
484,onw,9439.53999999998,90.57
485,onw,9497.259999999982,91.68
486,onw,9566.419999999982,93.01
487,onw,9515.459999999981,92.03
488,onw,9498.299999999981,91.7
489,onw,9494.65999999998,91.63
490,onw,9396.37999999998,89.74
491,onw,9343.33999999998,88.72
492,onw,9377.139999999981,89.37
493,onw,9386.49999999998,89.55
494,onw,9471.25999999998,91.18
495,onw,9511.29999999998,91.95
496,onw,9381.819999999978,89.46
497,onw,9381.819999999978,89.46
498,onw,9445.519999999979,88.36
499,onw,9407.29999999998,91.44
500,onw,9357.31999999998,90.46
501,onw,9280.87999999998,91.42
502,onw,9395.62999999998,93.67
503,onw,9432.859999999979,94.4
504,onw,9414.499999999978,94.04
505,onw,9412.459999999977,94
506,onw,9488.449999999977,95.49
507,onw,9404.299999999977,93.84
508,onw,9354.809999999978,94.69
509,onw,9393.519999999979,95.48
510,onw,9349.419999999978,94.58
511,onw,9385.419999999978,94.4
512,onw,9363.859999999977,93.96
513,onw,9328.089999999978,93.23
514,onw,9248.219999999978,91.6
515,onw,9216.089999999978,91.69
516,onw,9238.019999999979,92.58
517,onw,9309.419999999978,91.14
518,onw,9296.669999999978,89.47
519,onw,9223.739999999978,90.16
520,onw,9198.749999999978,89.67
521,onw,9164.249999999978,91.77
522,onw,9181.249999999978,92.11
523,onw,9211.749999999978,92.72
524,onw,9192.749999999978,92.34
525,onw,9132.249999999978,91.13
526,onw,9022.749999999978,88.94
527,onw,9002.249999999978,89.71
528,onw,9041.249999999978,88.59
529,onw,9065.249999999978,88.61
530,onw,9081.749999999978,87.7
531,onw,9074.249999999978,88.31
532,onw,9179.819999999978,90.38
533,onw,9252.749999999978,91.81
534,onw,9313.439999999979,93
535,onw,9367.499999999978,94.06
536,onw,9399.119999999979,94.68
537,onw,9459.80999999998,95.87
538,onw,9413.39999999998,94.96
539,onw,9446.54999999998,95.61
540,onw,9538.60499999998,97.415
541,onw,9562.31999999998,97.88
542,onw,9551.09999999998,97.66
543,onw,9539.879999999981,97.44
544,onw,9610.76999999998,98.83
545,onw,9601.58999999998,98.65
546,onw,9662.789999999979,99.85
547,onw,9669.929999999978,99.99
548,onw,9709.70999999998,100.77
549,onw,9714.80999999998,100.87
550,onw,9718.37999999998,100.94
551,onw,9708.179999999978,100.74
552,onw,9697.97999999998,100.54
553,onw,9647.99999999998,99.56
554,onw,9734.69999999998,101.26
555,onw,9747.959999999981,101.52
556,onw,9611.78999999998,98.85
557,onw,9595.469999999981,98.53
558,onw,9584.249999999982,98.31
559,onw,9675.029999999982,100.09
560,onw,9763.259999999982,101.82
561,onw,9843.329999999982,103.39
562,onw,9842.309999999981,103.37
563,onw,9815.27999999998,102.84
564,onw,9829.049999999981,103.11
565,onw,9886.169999999982,104.23
566,onw,9791.309999999981,102.37
567,onw,9769.889999999981,101.95
568,onw,9659.219999999981,99.78
569,onw,9573.679999999982,100.4
570,onw,9595.27999999998,100.85
571,onw,9698.479999999981,103
572,onw,9704.239999999982,103.12
573,onw,9736.879999999981,103.8
574,onw,9793.999999999982,104.99
575,onw,9740.719999999981,103.88
576,onw,9816.079999999982,105.45
577,onw,9847.27999999998,106.1
578,onw,9898.639999999981,107.17
579,onw,9897.679999999982,107.15
580,onw,9837.199999999983,105.89
581,onw,9894.319999999982,107.08
582,onw,9905.839999999982,107.32
583,onw,9862.159999999982,106.41
584,onw,9783.919999999982,104.78
585,onw,9777.059999999981,104.85
586,onw,9853.419999999982,106.51
587,onw,9846.519999999982,106.36
588,onw,9691.959999999983,103
589,onw,9740.959999999983,102.02
590,onw,9709.599999999982,102.9
591,onw,9569.949999999983,104.77
592,onw,9592.949999999983,105.27
593,onw,9651.829999999982,106.55
594,onw,9655.969999999981,106.64
595,onw,9707.489999999982,107.76
596,onw,9690.469999999981,107.39
597,onw,9751.649999999981,108.72
598,onw,9754.409999999982,108.78
599,onw,9755.329999999982,108.8
600,onw,9767.749999999982,109.07
601,onw,9808.229999999981,109.95
602,onw,9766.36999999998,109.04
603,onw,9727.26999999998,108.19
604,onw,9679.42999999998,109.69
605,onw,9656.98999999998,108.2
606,onw,9726.90999999998,107.03
607,onw,9744.84999999998,106.15
608,onw,9734.72999999998,105.19
609,onw,9706.66999999998,106.3
610,onw,9652.84999999998,104.13
611,onw,9641.809999999981,103.74
612,onw,9486.78999999998,105.51
613,onw,9500.58999999998,105.66
614,onw,9474.36999999998,106.26
615,onw,9469.26999999998,107.95
616,onw,9508.53999999998,109.31
617,onw,9487.11999999998,110.31
618,onw,9467.229999999981,110
619,onw,9497.319999999982,109.31
620,onw,9539.139999999981,110.38
621,onw,9556.479999999981,110.92
622,onw,9579.429999999982,111.26
623,onw,9569.229999999981,110.51
624,onw,9556.989999999982,109.25
625,onw,9533.529999999982,110.72
626,onw,9562.599999999982,111
627,onw,9581.979999999981,111.17
628,onw,9628.389999999981,108.4
629,onw,9618.18999999998,109.48
630,onw,9595.74999999998,110.92
631,onw,9571.77999999998,111.28
632,onw,9527.91999999998,111.55
633,onw,9469.77999999998,111.84
634,onw,9468.75999999998,110.91
635,onw,9416.25999999998,110.04
636,onw,9492.27999999998,109.58
637,onw,9504.459999999981,110.7
638,onw,9506.979999999981,111.11
639,onw,9531.75999999998,111.87
640,onw,9522.09999999998,111.46
641,onw,9497.31999999998,111.8
642,onw,9554.43999999998,110.72
643,onw,9616.17999999998,110.2
644,onw,9567.03999999998,110.76
645,onw,9666.99999999998,111.57
646,onw,9672.87999999998,112
647,onw,9620.37999999998,112.19
648,onw,9589.29999999998,112.9
649,onw,9595.179999999978,113.01
650,onw,9673.29999999998,112.23
651,onw,9617.019999999979,112.77
652,onw,9621.179999999978,112.37
653,onw,9632.099999999979,113.26
654,onw,9638.339999999978,113.52
655,onw,9588.939999999979,113.5
656,onw,9604.019999999979,113.89
657,onw,9576.979999999978,115.08
658,onw,9637.819999999978,113.97
659,onw,9625.859999999979,113.95
660,onw,9613.37999999998,114.49
661,onw,9683.05999999998,114.73
662,onw,9666.939999999979,113.62
663,onw,9698.139999999978,114.28
664,onw,9710.099999999979,113.92
665,onw,9738.179999999978,111.2
666,onw,9715.73999999998,110.21
667,onw,9740.81999999998,109.34
668,onw,9711.77999999998,109.17
669,onw,9727.17999999998,110.19
670,onw,9784.379999999981,109.04
671,onw,9750.93999999998,108.15
672,onw,9640.059999999981,109.26
673,onw,9642.69999999998,109.88
674,onw,9744.33999999998,108.98
675,onw,9877.65999999998,106.56
676,onw,9849.05999999998,106.74
677,onw,9815.179999999978,107.13
678,onw,9817.37999999998,107.05
679,onw,9797.57999999998,106.87
680,onw,9775.57999999998,106.99
681,onw,9627.29999999998,108.86
682,onw,9637.55999999998,110.27
683,onw,9612.71999999998,110.08
684,onw,9600.83999999998,110.62
685,onw,9594.35999999998,111.55
686,onw,9606.23999999998,110.86
687,onw,9671.57999999998,110.14
688,onw,9705.59999999998,109.24
689,onw,9720.71999999998,110.77
690,onw,9713.699999999979,111.2
691,onw,9689.39999999998,112.37
692,onw,9696.41999999998,112.49
693,onw,9693.71999999998,112.45
694,onw,9686.699999999979,113.37
695,onw,9636.47999999998,114.26
696,onw,9640.79999999998,113.93
697,onw,9614.339999999978,114.51
698,onw,9608.939999999979,114.7
699,onw,9629.45999999998,115.95
700,onw,9660.779999999979,115.26
701,onw,9672.119999999979,115.81
702,onw,9712.619999999979,116.76
703,onw,9718.55999999998,117.11
704,onw,9709.91999999998,115.97
705,onw,9714.779999999979,115.31
706,onw,9699.659999999978,116.76
707,onw,9633.239999999978,116.97
708,onw,9594.899999999978,117.63
709,onw,9563.039999999979,116.87
710,onw,9487.79999999998,117.17
711,onw,9474.019999999979,117.46
712,onw,9511.119999999979,116.95
713,onw,9487.269999999979,117.8
714,onw,9445.39999999998,118.25
715,onw,9435.859999999979,118.42
716,onw,9417.30999999998,118.8
717,onw,9493.62999999998,117.95
718,onw,9478.789999999979,119.02
719,onw,9508.46999999998,119.7
720,onw,9546.62999999998,119.62
721,onw,9539.73999999998,120.27
722,onw,9491.509999999978,120.99
723,onw,9520.65999999998,120.86
724,onw,9545.56999999998,119.01
725,onw,9544.509999999978,120.56
726,onw,9566.769999999979,120.95
727,onw,9600.15999999998,119.81
728,onw,9563.589999999978,120.94
729,onw,9579.48999999998,121.85
730,onw,9597.509999999978,120.65
731,onw,9612.349999999979,119.05
732,onw,9598.039999999979,120.1
733,onw,9620.29999999998,120.88
734,onw,9627.71999999998,119.38
735,onw,9701.38999999998,119.01
736,onw,9767.63999999998,116.56
737,onw,9683.99999999998,116.26
738,onw,9601.17999999998,112.64
739,onw,9606.91999999998,115.81
740,onw,9526.55999999998,115.07
741,onw,9451.939999999979,116.29
742,onw,9458.179999999978,117.13
743,onw,9502.899999999978,115.12
744,onw,9534.099999999977,114.2
745,onw,9600.009999999977,114.88
746,onw,9652.009999999977,111.77
747,onw,9734.009999999977,109.38
748,onw,9777.609999999977,105.91
749,onw,9726.009999999977,108.52
750,onw,9693.209999999977,105.11
751,onw,9636.409999999978,108.48
752,onw,9653.209999999977,109.19
753,onw,9640.409999999976,110.64
754,onw,9677.409999999976,108.35
755,onw,9698.609999999977,108.08
756,onw,9706.209999999977,110.65
757,onw,9792.709999999977,108.61
758,onw,9761.139999999978,107.2
759,onw,9643.059999999978,105.57
760,onw,9689.389999999978,107.24
761,onw,9735.309999999978,107.86
762,onw,9750.159999999978,108.19
763,onw,9855.009999999978,110.52
764,onw,9844.20999999998,110.28
765,onw,9895.509999999978,111.42
766,onw,9934.20999999998,112.28
767,onw,9913.95999999998,111.83
768,onw,9972.00999999998,113.12
769,onw,9895.05999999998,111.41
770,onw,9815.40999999998,109.64
771,onw,9772.65999999998,108.69
772,onw,9729.90999999998,107.74
773,onw,9728.34999999998,108.03
774,onw,9637.89999999998,106.02
775,onw,9637.09999999998,103.92
776,onw,9643.49999999998,103.15
777,onw,9751.49999999998,103.11
778,onw,9773.10799999998,103.64
779,onw,9817.09999999998,103.13
780,onw,9784.29999999998,107
781,onw,9790.14999999998,107.13
782,onw,9811.29999999998,107.6
783,onw,9881.04999999998,109.15
784,onw,9888.24999999998,109.31
785,onw,9901.74999999998,109.61
786,onw,9878.34999999998,109.09
787,onw,9786.54999999998,107.05
788,onw,9733.449999999979,105.87
789,onw,9689.349999999979,109.04
790,onw,9658.54999999998,108.34
791,onw,9698.14999999998,109.24
792,onw,9757.98999999998,110.6
793,onw,9827.06999999998,112.17
794,onw,9789.66999999998,111.32
795,onw,9798.46999999998,111.52
796,onw,9695.06999999998,109.17
797,onw,9819.14999999998,111.99
798,onw,9840.709999999981,112.48
799,onw,9842.909999999982,112.53
800,onw,9830.589999999982,112.25
801,onw,9808.149999999981,111.74
802,onw,9860.069999999982,112.92
803,onw,9820.909999999982,112.03
804,onw,9760.189999999982,110.65
805,onw,9628.189999999982,107.65
806,onw,9617.789999999983,108.29
807,onw,9582.589999999982,107.57
808,onw,9653.869999999983,109.19
809,onw,9669.269999999982,109.54
810,onw,9655.189999999982,109.22
811,onw,9582.149999999983,107.56
812,onw,9603.269999999984,108.04
813,onw,9511.309999999983,105.95
814,onw,9417.313999999982,104.95
815,onw,9484.363999999981,106.44
816,onw,9459.613999999981,105.89
817,onw,9490.66399999998,106.58
818,onw,9455.70399999998,104.92
819,onw,9441.26399999998,106.73
820,onw,9528.823999999979,108.72
821,onw,9608.903999999979,110.54
822,onw,9601.423999999979,110.37
823,onw,9578.983999999979,109.86
824,onw,9657.743999999979,111.65
825,onw,9634.423999999979,111.12
826,onw,9698.663999999979,112.58
827,onw,9695.143999999978,112.5
828,onw,9687.223999999978,112.32
829,onw,9705.26399999998,112.73
830,onw,9718.903999999979,113.04
831,onw,9711.863999999978,112.88
832,onw,9774.343999999977,114.3
833,onw,9752.343999999977,113.8
834,onw,9694.703999999978,112.49
835,onw,9750.143999999978,113.75
836,onw,9798.983999999979,114.86
837,onw,9779.623999999978,114.42
838,onw,9777.863999999978,114.38
839,onw,9807.343999999977,115.05
840,onw,9804.703999999978,114.99
841,onw,9777.423999999979,114.37
842,onw,9796.34399999998,114.8
843,onw,9850.02399999998,116.02
844,onw,9871.14399999998,116.5
845,onw,9851.343999999981,116.05
846,onw,9880.82399999998,116.72
